Año,Sector IPCC,Categoria IPCC,Sub Categoría IPCC,Fuente IPCC,Sub Fuente IPCC,CO2,CH4,N2O,HFC-23,HFC-410A,HFC-43-10mee,HFC-125,HFC-134,HFC-134a,HFC-404A,HFC-407C,HFC-152a,HFC-227ea,HFC-236fa,HFC-365mfc/227ea,HFC-365mfc,HFC-245fa,PFC-CF4,PFC-C2F6,SF6,CN
1990,1 Energía,1A Actividades de quema del combustible,1A1 Industrias de la energía,1A1a Actividad principal producción de electricidad y calor,,"66,357.38",60.198,135.15,,,,,,,,,,,,,,,,,,11.119
1990,1 Energía,1A Actividades de quema del combustible,1A1 Industrias de la energía,1A1b Refinación del petróleo,,"11,550.93",11.131,20.204,,,,,,,,,,,,,,,,,,2.191
1990,1 Energía,1A Actividades de quema del combustible,1A1 Industrias de la energía,1A1c Manufactura de combustibles sólidos y otras industrias de la energía,,"25,911.45",18.175,27.486,,,,,,,,,,,,,,,,,,0.305
1990,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2a Hierro y acero,,"5,050.96",3.684,5.648,,,,,,,,,,,,,,,,,,0.124
1990,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2b Metales no ferrosos,,"2,105.78",1.876,2.921,,,,,,,,,,,,,,,,,,0
1990,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2c Sustancias químicas,,"16,715.48",10.401,13.852,,,,,,,,,,,,,,,,,,0.192
1990,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,"1A2d Pulpa, papel e imprenta",,"3,347.00",3.061,5.409,,,,,,,,,,,,,,,,,,0.139
1990,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,"1A2e Procesamiento de alimentos, bebidas y tabaco",,"4,031.01",4.073,7.552,,,,,,,,,,,,,,,,,,0
1990,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2f Minerales no metálicos,,0,0,0,,,,,,,,,,,,,,,,,,0
1990,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2g Equipo de transporte,,198.395,0.107,0.126,,,,,,,,,,,,,,,,,,0
1990,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2h Maquinaria,,0,0,0,,,,,,,,,,,,,,,,,,0
1990,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2i Minería (con excepción de combustibles) y cantería,,"6,605.83",6.646,12.305,,,,,,,,,,,,,,,,,,0.198
1990,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2j Madera y productos de la madera,,0,0,0,,,,,,,,,,,,,,,,,,0
1990,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2k Construcción,,341.889,0.394,0.746,,,,,,,,,,,,,,,,,,0.002
1990,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2l Textiles y cueros,,0,0,0,,,,,,,,,,,,,,,,,,0
1990,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2m Industria no especificada,,"12,189.83",71.529,93.082,,,,,,,,,,,,,,,,,,21.12
1990,1 Energía,1A Actividades de quema del combustible,1A3 Transporte,1A3a Aviación civil,,"3,286.29",0.634,23.987,,,,,,,,,,,,,,,,,,0.047
1990,1 Energía,1A Actividades de quema del combustible,1A3 Transporte,1A3b Autotransporte,,"84,230.61",832.786,"1,015.07",,,,,,,,,,,,,,,,,,15.993
1990,1 Energía,1A Actividades de quema del combustible,1A3 Transporte,1A3c Ferrocarriles,,"1,941.40",3.097,201.973,,,,,,,,,,,,,,,,,,0.046
1990,1 Energía,1A Actividades de quema del combustible,1A3 Transporte,1A3d Navegación marítima y fluvial,,"1,987.54",4.98,13.466,,,,,,,,,,,,,,,,,,0.496
1990,1 Energía,1A Actividades de quema del combustible,1A3 Transporte,1A3e Otro transporte,,0,0,0,,,,,,,,,,,,,,,,,,0
1990,1 Energía,1A Actividades de quema del combustible,1A4 Otros sectores,1A4a Comercial/institucional,,"3,859.67",11.823,5.641,,,,,,,,,,,,,,,,,,1.311
1990,1 Energía,1A Actividades de quema del combustible,1A4 Otros sectores,1A4b Residencial,,"18,832.14","2,364.45",302.046,,,,,,,,,,,,,,,,,,31.327
1990,1 Energía,1A Actividades de quema del combustible,1A4 Otros sectores,1A4c Agropecuario/silvicultura/pesca/piscifactorías,,"4,967.04",18.947,10.678,,,,,,,,,,,,,,,,,,0.091
1990,1 Energía,1B Emisiones fugitivas provenientes de la fabricación de combustibles,1B1 Combustibles sólidos,1B1a Minería carbonífera y manejo del carbón,1B1ai Minas subterráneas,0,"3,200.48",0,,,,,,,,,,,,,,,,,,0
1990,1 Energía,1B Emisiones fugitivas provenientes de la fabricación de combustibles,1B1 Combustibles sólidos,1B1a Minería carbonífera y manejo del carbón,1B1aii Minas superficie,0,41.167,0,,,,,,,,,,,,,,,,,,0
1990,1 Energía,1B Emisiones fugitivas provenientes de la fabricación de combustibles,1B1 Combustibles sólidos,1B1b Combustión espontánea y vertederos para quema de carbón,,0,0,0,,,,,,,,,,,,,,,,,,0
1990,1 Energía,1B Emisiones fugitivas provenientes de la fabricación de combustibles,1B2 Petróleo y gas natural,1B2a Petróleo,,"5,120.22","5,630.00",0,,,,,,,,,,,,,,,,,,0
1990,1 Energía,1B Emisiones fugitivas provenientes de la fabricación de combustibles,1B2 Petróleo y gas natural,1B2b Gas natural,,"1,277.09","3,438.27",0,,,,,,,,,,,,,,,,,,0
1990,1 Energía,1B Emisiones fugitivas provenientes de la fabricación de combustibles,1B2 Petróleo y gas natural,1B2ab Quemado,1B2abii Quemado en petróleo y gas,"5,286.95",0,0,,,,,,,,,,,,,,,,,,1.827
1990,2 Procesos industriales y uso de productos,2A Industria de los minerales,2A1 Producción de cemento,,,"10,735.74",0,0,,,,,,,,,,,,,,,,,,0
1990,2 Procesos industriales y uso de productos,2A Industria de los minerales,2A2 Producción de cal,,,"2,166.68",0,0,,,,,,,,,,,,,,,,,,0
1990,2 Procesos industriales y uso de productos,2A Industria de los minerales,2A3 Producción de vidrio,,,306.659,0,0,,,,,,,,,,,,,,,,,,0
1990,2 Procesos industriales y uso de productos,2A Industria de los minerales,2A4 Otros usos de carbonatos,,,0,0,0,,,,,,,,,,,,,,,,,,0
1990,2 Procesos industriales y uso de productos,2A Industria de los minerales,2A5 Otros,,,0,0,0,,,,,,,,,,,,,,,,,,0
1990,2 Procesos industriales y uso de productos,2B Industria química,2B1 Producción de amoniaco,,,"4,593.20",0,0,,,,,,,,,,,,,,,,,,0
1990,2 Procesos industriales y uso de productos,2B Industria química,2B2 Producción de ácido nítrico,,,0,0,703.575,,,,,,,,,,,,,,,,,,0
1990,2 Procesos industriales y uso de productos,2B Industria química,2B3 Producción de ácido adípico,,,0,0,0,,,,,,,,,,,,,,,,,,0
1990,2 Procesos industriales y uso de productos,2B Industria química,"2B4 Producción de caprolactama, glioxil y ácido glioxílico",,,0,0,169.335,,,,,,,,,,,,,,,,,,0
1990,2 Procesos industriales y uso de productos,2B Industria química,2B5 Producción de carburo,,,0,0,0,,,,,,,,,,,,,,,,,,0
1990,2 Procesos industriales y uso de productos,2B Industria química,2B6 Producción de dióxido de titanio,,,87.829,0,0,,,,,,,,,,,,,,,,,,0
1990,2 Procesos industriales y uso de productos,2B Industria química,2B7 Producción de ceniza de sosa,,,60.72,0,0,,,,,,,,,,,,,,,,,,0
1990,2 Procesos industriales y uso de productos,2B Industria química,2B8 Producción petroquímica y negro de humo,,,"2,257.26",257.954,0,,,,,,,,,,,,,,,,,,0
1990,2 Procesos industriales y uso de productos,2B Industria química,2B9 Producción fluoroquímica,,,0,0,0,760.636,,,,,,,,,,,,,,,,,0
1990,2 Procesos industriales y uso de productos,2B Industria química,2B10 Otros,,,0,0,0,,,,,,,,,,,,,,,,,,0
1990,2 Procesos industriales y uso de productos,2C Industria de los metales,2C1 Producción de hierro y acero,,,"8,666.78",0,0,,,,,,,,,,,,,,,,,,0
1990,2 Procesos industriales y uso de productos,2C Industria de los metales,2C2 Producción de ferroaleaciones,,,341.187,0,0,,,,,,,,,,,,,,,,,,0
1990,2 Procesos industriales y uso de productos,2C Industria de los metales,2C3 Producción de aluminio,,,104.234,0,0,,,,,,,,,,,,,,,345.534,92.198,,0
1990,2 Procesos industriales y uso de productos,2C Industria de los metales,2C4 Producción de magnesio,,,0,0,0,,,,,,,,,,,,,,,,,,0
1990,2 Procesos industriales y uso de productos,2C Industria de los metales,2C5 Producción de plomo,,,97.3,0,0,,,,,,,,,,,,,,,,,,0
1990,2 Procesos industriales y uso de productos,2C Industria de los metales,2C6 Producción de zinc,,,554.678,0,0,,,,,,,,,,,,,,,,,,0
