Año,Sector IPCC,Categoría IPCC,Sub Categoría IPCC,Fuente IPCC,Sub Fuente IPCC,CO2,CH4,N2O,HFC-23,HFC-410A,HFC-43-10mee,HFC-125,HFC-134,HFC-134a,HFC-404A,HFC-407C,HFC-152a,HFC-227ea,HFC-236fa,HFC-365mfc/227ea,HFC-365mfc,HFC-245fa,PFC-CF4,PFC-C2F6,SF6,CN
1991,1 Energía,1A Actividades de quema del combustible,1A1 Industrias de la energía,1A1a Actividad principal producción de electricidad y calor,,"68,693.64",61.652,137.992,,,,,,,,,,,,,,,,,,11.247
1991,1 Energía,1A Actividades de quema del combustible,1A1 Industrias de la energía,1A1b Refinación del petróleo,,"9,051.37",8.526,15.301,,,,,,,,,,,,,,,,,,1.643
1991,1 Energía,1A Actividades de quema del combustible,1A1 Industrias de la energía,1A1c Manufactura de combustibles sólidos y otras industrias de la energía,,"28,812.26",21.741,34.367,,,,,,,,,,,,,,,,,,0.354
1991,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2a Hierro y acero,,"4,832.71",3.495,5.323,,,,,,,,,,,,,,,,,,0.116
1991,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2b Metales no ferrosos,,"2,062.50",1.505,2.287,,,,,,,,,,,,,,,,,,0
1991,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2c Sustancias químicas,,"18,041.70",11.285,15.099,,,,,,,,,,,,,,,,,,0.21
1991,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,"1A2d Pulpa, papel e imprenta",,"2,964.17",2.332,3.767,,,,,,,,,,,,,,,,,,0.086
1991,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,"1A2e Procesamiento de alimentos, bebidas y tabaco",,"4,301.35",4.308,7.958,,,,,,,,,,,,,,,,,,0.207
1991,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2f Minerales no metálicos,,0,0,0,,,,,,,,,,,,,,,,,,0
1991,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2g Equipo de transporte,,187.805,0.108,0.135,,,,,,,,,,,,,,,,,,0
1991,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2h Maquinaria,,0,0,0,,,,,,,,,,,,,,,,,,0
1991,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2i Minería (con excepción de combustibles) y cantería,,"6,803.28",6.897,12.819,,,,,,,,,,,,,,,,,,0.209
1991,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2j Madera y productos de la madera,,0,0,0,,,,,,,,,,,,,,,,,,0
1991,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2k Construcción,,350.631,0.404,0.765,,,,,,,,,,,,,,,,,,0.002
1991,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2l Textiles y cueros,,0,0,0,,,,,,,,,,,,,,,,,,0
1991,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2m Industria no especificada,,"11,213.13",79.859,102.504,,,,,,,,,,,,,,,,,,24.268
1991,1 Energía,1A Actividades de quema del combustible,1A3 Transporte,1A3a Aviación civil,,"3,570.50",0.688,26.062,,,,,,,,,,,,,,,,,,0.051
1991,1 Energía,1A Actividades de quema del combustible,1A3 Transporte,1A3b Autotransporte,,"90,302.13",693.859,"2,236.05",,,,,,,,,,,,,,,,,,16.925
1991,1 Energía,1A Actividades de quema del combustible,1A3 Transporte,1A3c Ferrocarriles,,"1,625.01",2.592,169.057,,,,,,,,,,,,,,,,,,0.038
1991,1 Energía,1A Actividades de quema del combustible,1A3 Transporte,1A3d Navegación marítima y fluvial,,"2,258.41",5.764,15.587,,,,,,,,,,,,,,,,,,0.434
1991,1 Energía,1A Actividades de quema del combustible,1A3 Transporte,1A3e Otro transporte,,0,0,0,,,,,,,,,,,,,,,,,,0
1991,1 Energía,1A Actividades de quema del combustible,1A4 Otros sectores,1A4a Comercial/institucional,,"4,860.36",13.834,5.883,,,,,,,,,,,,,,,,,,1.924
1991,1 Energía,1A Actividades de quema del combustible,1A4 Otros sectores,1A4b Residencial,,"18,730.66","2,382.81",304.136,,,,,,,,,,,,,,,,,,31.429
1991,1 Energía,1A Actividades de quema del combustible,1A4 Otros sectores,1A4c Agropecuario/silvicultura/pesca/piscifactorías,,"5,117.67",19.511,10.995,,,,,,,,,,,,,,,,,,0.095
1991,1 Energía,1B Emisiones fugitivas provenientes de la fabricación de combustibles,1B1 Combustibles sólidos,1B1a Minería carbonífera y manejo del carbón,1B1ai Minas subterráneas,0,"2,869.74",0,,,,,,,,,,,,,,,,,,0
1991,1 Energía,1B Emisiones fugitivas provenientes de la fabricación de combustibles,1B1 Combustibles sólidos,1B1a Minería carbonífera y manejo del carbón,1B1aii Minas superficie,0,47.508,0,,,,,,,,,,,,,,,,,,0
1991,1 Energía,1B Emisiones fugitivas provenientes de la fabricación de combustibles,1B1 Combustibles sólidos,1B1b Combustión espontánea y vertederos para quema de carbón,,0,0,0,,,,,,,,,,,,,,,,,,0
1991,1 Energía,1B Emisiones fugitivas provenientes de la fabricación de combustibles,1B2 Petróleo y gas natural,1B2a Petróleo,,"5,199.63","5,922.71",0,,,,,,,,,,,,,,,,,,0
1991,1 Energía,1B Emisiones fugitivas provenientes de la fabricación de combustibles,1B2 Petróleo y gas natural,1B2b Gas natural,,"1,267.17","3,450.18",0,,,,,,,,,,,,,,,,,,0
1991,1 Energía,1B Emisiones fugitivas provenientes de la fabricación de combustibles,1B2 Petróleo y gas natural,1B2ab Quemado,1B2abii Quemado en petróleo y gas,"5,327.39",0,0,,,,,,,,,,,,,,,,,,1.841
1991,2 Procesos industriales y uso de productos,2A Industria de los minerales,2A1 Producción de cemento,,,"10,954.79",0,0,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2A Industria de los minerales,2A2 Producción de cal,,,"2,200.63",0,0,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2A Industria de los minerales,2A3 Producción de vidrio,,,318.484,0,0,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2A Industria de los minerales,2A4 Otros usos de carbonatos,,,0,0,0,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2A Industria de los minerales,2A5 Otros,,,0,0,0,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2B Industria química,2B1 Producción de amoniaco,,,"4,715.69",0,0,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2B Industria química,2B2 Producción de ácido nítrico,,,0,0,839.759,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2B Industria química,2B3 Producción de ácido adípico,,,0,0,0,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2B Industria química,"2B4 Producción de caprolactama, glioxil y ácido glioxílico",,,0,0,178.968,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2B Industria química,2B5 Producción de carburo,,,0,0,0,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2B Industria química,2B6 Producción de dióxido de titanio,,,93.265,0,0,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2B Industria química,2B7 Producción de ceniza de sosa,,,60.72,0,0,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2B Industria química,2B8 Producción petroquímica y negro de humo,,,"2,159.13",259.605,0,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2B Industria química,2B9 Producción fluoroquímica,,,0,0,0,882.87,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2B Industria química,2B10 Otros,,,0,0,0,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2C Industria de los metales,2C1 Producción de hierro y acero,,,"7,215.58",0,0,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2C Industria de los metales,2C2 Producción de ferroaleaciones,,,285.363,0,0,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2C Industria de los metales,2C3 Producción de aluminio,,,76.382,0,0,,,,,,,,,,,,,,,253.208,67.563,,0
1991,2 Procesos industriales y uso de productos,2C Industria de los metales,2C4 Producción de magnesio,,,0,0,0,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2C Industria de los metales,2C5 Producción de plomo,,,97.3,0,0,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2C Industria de los metales,2C6 Producción de zinc,,,517.213,0,0,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2C Industria de los metales,2C7 Otros,,,0,0,0,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2D Uso de productos no energéticos de combustibles y de solvente,2D1 Uso de lubricantes,,,253.268,0,0,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2D Uso de productos no energéticos de combustibles y de solvente,2D2 Uso de la cera de parafina,,,53.273,0,0,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2D Uso de productos no energéticos de combustibles y de solvente,2D3 Uso de solventes,,,0,0,0,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2D Uso de productos no energéticos de combustibles y de solvente,2D4 Otros,,,0,0,0,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2E Industria electrónica,2E1 Circuitos integrados o semiconductores,,,0,0,0,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2E Industria electrónica,2E2 Pantalla plana tipo TFT,,,0,0,0,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2E Industria electrónica,2E3 Células fotovoltaicas,,,0,0,0,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2E Industria electrónica,2E4 Fluido de transferencia térmica,,,0,0,0,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2E Industria electrónica,2E5 Otros,,,0,0,0,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2F Uso de productos sustitutos de las sustancias que agotan la capa de ozono,2F1 Refrigeración y aire acondicionado,,,0,0,0,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2F Uso de productos sustitutos de las sustancias que agotan la capa de ozono,2F2 Agentes espumantes,,,0,0,0,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2F Uso de productos sustitutos de las sustancias que agotan la capa de ozono,2F3 Protección contra incendios,,,0,0,0,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2F Uso de productos sustitutos de las sustancias que agotan la capa de ozono,2F4 Aerosoles,,,0,0,0,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2F Uso de productos sustitutos de las sustancias que agotan la capa de ozono,2F5 Solventes,,,0,0,0,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2F Uso de productos sustitutos de las sustancias que agotan la capa de ozono,2F6 Otras aplicaciones,,,0,0,0,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2G Manufactura y utilización de otros productos,2G1 Equipos eléctricos,,,0,0,0,,,,,,,,,,,,,,,,,35.038,0
1991,2 Procesos industriales y uso de productos,2G Manufactura y utilización de otros productos,2G2 SF6 y PFC de otros usos de productos,,,0,0,0,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2G Manufactura y utilización de otros productos,2G3 N2O de usos de productos,,,0,0,0,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2G Manufactura y utilización de otros productos,2G4 Otros,,,0,0,0,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2H Otros,2H1 Industria de la pulpa y el papel,,,0,0,0,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2H Otros,2H2 Industria de la alimentación y las bebidas,,,0,0,0,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2H Otros,2H3 Otros,,,0,0,0,,,,,,,,,,,,,,,,,,0
1991,"3 Agricultura, silvicultura y otros usos de la tierra",3A Ganado,3A1 Fermentación entérica,3A1a Bovino,,0,"47,524.46",0,,,,,,,,,,,,,,,,,,0
1991,"3 Agricultura, silvicultura y otros usos de la tierra",3A Ganado,3A1 Fermentación entérica,3A1b Búfalos,,0,0,0,,,,,,,,,,,,,,,,,,0
1991,"3 Agricultura, silvicultura y otros usos de la tierra",3A Ganado,3A1 Fermentación entérica,3A1c Ovinos,,0,849.965,0,,,,,,,,,,,,,,,,,,0
1991,"3 Agricultura, silvicultura y otros usos de la tierra",3A Ganado,3A1 Fermentación entérica,3A1d Caprino,,0,"1,407.19",0,,,,,,,,,,,,,,,,,,0
1991,"3 Agricultura, silvicultura y otros usos de la tierra",3A Ganado,3A1 Fermentación entérica,3A1e Camello,,0,0,0,,,,,,,,,,,,,,,,,,0
